Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
537,pl2,Lepi_17,plant,herbivore,herbivory,1
537,pl2,Lepi_22,plant,herbivore,herbivory,1
537,pl22,Lepi_15,plant,herbivore,herbivory,25
537,pl22,Lepi_8,plant,herbivore,herbivory,3
537,pl24,po34,plant,pollinator,pollination,1
537,pl28,Lepi_8,plant,herbivore,herbivory,3
537,pl29,Lepi_8,plant,herbivore,herbivory,1
537,pl3,Lepi_10,plant,herbivore,herbivory,1
537,pl3,Lepi_7,plant,herbivore,herbivory,5
537,pl3,po13,plant,pollinator,pollination,1
537,pl3,po28,plant,pollinator,pollination,1
537,pl3,po34,plant,pollinator,pollination,3
537,pl4,po34,plant,pollinator,pollination,6
537,pl4,po47,plant,pollinator,pollination,2
537,pl4,po7,plant,pollinator,pollination,1
537,pl4,po78,plant,pollinator,pollination,2
537,pl5,po13,plant,pollinator,pollination,5
537,pl5,po2,plant,pollinator,pollination,2
537,pl5,po34,plant,pollinator,pollination,11
537,pl5,po37,plant,pollinator,pollination,1
537,pl5,po47,plant,pollinator,pollination,1
537,pl6,po2,plant,pollinator,pollination,5
537,pl6,po34,plant,pollinator,pollination,1
537,pl7,po8,plant,pollinator,pollination,1
537,pl8,po34,plant,pollinator,pollination,1
537,pl9,Lepi_5,plant,herbivore,herbivory,1
538,pl1,po34,plant,pollinator,pollination,1
540,Lepi_8,Diptera,herbivore,parasitoid,parasitoidism,2
540,pl1,Lepi_1,plant,herbivore,herbivory,1
540,pl1,po2,plant,pollinator,pollination,14
540,pl16,Lepi_8,plant,herbivore,herbivory,2
540,pl16,po162,plant,pollinator,pollination,2
540,pl16,po34,plant,pollinator,pollination,1
540,pl16,po55,plant,pollinator,pollination,1
540,pl34,Lepi_8,plant,herbivore,herbivory,4
540,pl4,poNA,plant,pollinator,pollination,3
540,pl5,Lepi_15,plant,herbivore,herbivory,1
540,pl5,po2,plant,pollinator,pollination,1
540,pl6,po111,plant,pollinator,pollination,1
540,pl6,po155,plant,pollinator,pollination,1
540,pl6,po19,plant,pollinator,pollination,57
540,pl6,po2,plant,pollinator,pollination,1
540,pl6,po34,plant,pollinator,pollination,4
540,pl6,po9,plant,pollinator,pollination,1
540,pl6,po90,plant,pollinator,pollination,2
540,pl9,Lepi_14,plant,herbivore,herbivory,3
541,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,2
